Brand Name,Outside Model,Inside model,Furnace model,Rated heating capacity (Btu/hour),AHRI / Verification reference,Product group,AHRI Classification,Indoor type/ducting configuration
"COMFORTMAKER","D5CUHAH24AAK","ESH5X36M12A*","*80CTL0901716B*","20800","216738283","ASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","D5CUHAH24AAK","ESH5X36M12A*","*80CTL0902120B*","21000","216738292","ASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","C5H3V36*K*AAA*","EVD5X60M24A*+WALLCON","*80CTL0702120B*","38000","215936749","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","D5CUHAH24AAK","ESH5X36M12A*","*80CTL1102120B*","21200","216738301","ASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","N4H7T24*K*AAA*","EA*4X25L17A*","*80VSL0901716B*","24200","213167843","ASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","DLCURAH24ABK","EN(A,D)4X30L17**","*92ESN0401410A*","26600","211244779","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","D5CUHAH24AAK","ESH5X36M12A*","*80VTL0451412B*","20800","216738320","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","D5CUHAH24AAK","ESH5X36M12A*","*80VTL0701716B*","20800","216738334","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","DLCURAH24ABK","EN(A,D)4X30L17**","*92MSN0801716A*","26200","212984666","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","DLCURAH24ABK","EN(A,D)4X30L17**","*95ESN0801716A*","26800","211244768","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","D5CUHAH24AAK","ESH5X36M12A*","*80VTL1102122B*","21000","216738357","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","D5CUHAH24AAK","ESH5X36M12A*","*95CSU0601716B*","20800","216738369","ASHP","HRCU-A-CB","Centrally ducted system"
